 1, 1, 1,79.16ms,2203432,3,1,3205,262.5µs,11640
 2, 1, 1,137.254958ms,18446744073708604424,4,1,3272,278.375µs,11768
 3, 1, 1,102.580208ms,1458472,2,1,3186,261.708µs,11656
 4, 1, 1,51.011792ms,18446744073707885592,3,1,3201,261.166µs,11656
 5, 1, 1,146.265167ms,18446744073709173400,2,1,3134,245.375µs,11640
 1, 1, 5,434.431417ms,876312,13,5,15841,1.224625ms,58216
 2, 1, 5,529.166208ms,18446744073708439440,19,5,16206,1.244917ms,58728
 3, 1, 5,563.50925ms,975904,17,5,16088,1.168625ms,58600
 4, 1, 5,519.101875ms,18446744073708840696,16,5,15979,1.119833ms,58472
 5, 1, 5,507.044125ms,18446744073708147320,17,5,16097,1.112708ms,58728
 1, 1, 10,778.73325ms,18446744073709489720,31,10,32189,2.2555ms,117216
 2, 1, 10,824.081ms,93312,30,10,31945,2.211542ms,117072
 3, 1, 10,906.968666ms,599488,31,10,32023,2.19675ms,117088
 4, 1, 10,779.983584ms,18446744073709236936,29,10,31691,2.271292ms,116816
 5, 1, 10,947.685708ms,18446744073708105776,33,10,32138,2.389ms,117312
 1, 10, 1,60.666ms,1626920,3,10,3963,552.375µs,12664
 2, 10, 1,86.329583ms,18446744073709336544,4,10,3976,265.125µs,12680
 3, 10, 1,137.011167ms,18446744073707618696,4,10,4007,291.417µs,25048
 4, 10, 1,29.719541ms,827720,2,10,3981,291.334µs,12664
 5, 10, 1,54.61075ms,1743448,3,10,3952,244.875µs,12680
 1, 10, 5,372.923959ms,18446744073706935256,13,50,20033,1.11925ms,63336
 2, 10, 5,365.262875ms,1908400,13,50,20061,1.111125ms,63336
 3, 10, 5,373.019708ms,18446744073709093696,15,50,20043,1.094833ms,63336
 4, 10, 5,337.391042ms,18446744073708610696,14,50,20009,1.11875ms,63352
 5, 10, 5,783.52225ms,801072,12,50,19877,1.110209ms,63336
 1, 10, 10,844.685417ms,18446744073708266376,27,100,40035,2.194708ms,126656
 2, 10, 10,659.161625ms,1541184,30,100,40043,2.388375ms,126672
 3, 10, 10,735.6275ms,18446744073707252760,30,100,40364,2.202375ms,126672
 4, 10, 10,534.47275ms,18446744073708866304,26,100,39926,2.151625ms,126672
 5, 10, 10,1.155378667s,1276696,34,100,40214,2.207ms,126672
 1, 100, 1,24.272125ms,18446744073707304400,4,100,12172,277.208µs,20856
 2, 100, 1,100.45275ms,2566160,3,100,12225,269µs,20856
 3, 100, 1,43.099667ms,18446744073707625032,3,100,12162,255.958µs,20856
 4, 100, 1,33.885458ms,1077496,3,100,12229,287.042µs,20856
 5, 100, 1,37.832959ms,18446744073708012984,4,100,12249,255.208µs,20856
 1, 100, 5,339.315ms,957608,12,500,60904,1.248208ms,104296
 2, 100, 5,274.350042ms,18446744073708426816,15,500,60839,1.164375ms,104296
 3, 100, 5,396.945917ms,18446744073709326472,13,500,61003,1.184375ms,104296
 4, 100, 5,202.401375ms,18446744073708766024,15,500,61162,1.204959ms,104328
 5, 100, 5,386.386792ms,1976864,15,500,60945,1.237333ms,104296
 1, 100, 10,552.650417ms,18446744073709067848,30,1000,122110,2.383458ms,208592
 2, 100, 10,726.832292ms,18446744073707930784,30,1000,122334,2.224125ms,208592
 3, 100, 10,835.774917ms,761984,31,1000,122043,2.36325ms,208608
 4, 100, 10,792.884291ms,18446744073708139648,29,1000,121823,2.304ms,208608
 5, 100, 10,861.566458ms,580504,31,1000,122139,2.627208ms,18446744073706635200
 1, 1000, 1,15.063666ms,902544,3,1000,94134,356.333µs,106888
 2, 1000, 1,43.337083ms,18446744073708532016,3,1000,94106,367.375µs,106872
 3, 1000, 1,140.913208ms,128768,3,1000,94218,359.917µs,106888
 4, 1000, 1,60.174375ms,18446744073708658920,2,1000,93996,356.417µs,106872
 5, 1000, 1,65.635958ms,2074656,4,1000,94141,359.625µs,106888
 1, 1000, 5,237.897375ms,485600,17,5000,470595,1.626916ms,534376
 2, 1000, 5,505.127792ms,18446744073709307656,13,5000,470343,1.579125ms,534376
 3, 1000, 5,299.079459ms,487688,15,5000,470723,1.725167ms,18446744073707438664
 4, 1000, 5,450.173791ms,18446744073708662536,12,5000,470501,1.554167ms,534376
 5, 1000, 5,480.525208ms,18446744073708374104,13,5000,470399,1.642833ms,534392
 1, 1000, 10,992.230041ms,1457952,31,10000,941101,3.123083ms,1068752
 2, 1000, 10,1.261774625s,788760,28,10000,940804,3.29125ms,18446744073708269848
 3, 1000, 10,862.136542ms,18446744073709437488,26,10000,941008,3.452916ms,18446744073708428912
 4, 1000, 10,1.131485334s,18446744073708565792,28,10000,941024,3.44175ms,18446744073708665248
 5, 1000, 10,606.613833ms,416144,38,10000,941289,3.109125ms,1068752
 1, 10000, 1,24.181375ms,3578216,4,10000,913137,1.416041ms,1963416
 2, 10000, 1,105.803ms,18446744073703656280,2,10000,913047,1.102584ms,926072
 3, 10000, 1,19.654541ms,1711064,3,10000,913102,1.160834ms,926072
 4, 10000, 1,90.276125ms,18446744073707190696,3,10000,913094,1.670208ms,18446744073708096536
 5, 10000, 1,41.370125ms,18446744073708320112,3,10000,913158,1.269ms,18446744073707382256
 1, 10000, 5,284.4945ms,9771344,16,50000,4565597,5.879ms,4630392
 2, 10000, 5,543.587417ms,10011696,18,50000,4565818,5.641167ms,935968
 3, 10000, 5,273.767125ms,978136,18,50000,4565714,5.884125ms,18446744073707979344
 4, 10000, 5,271.946458ms,18446744073704448360,13,50000,4565546,6.00925ms,18446744073704006648
 5, 10000, 5,454.870625ms,10492544,17,50000,4565607,6.384625ms,1297416
