polls,Poll Execution Time,Mining Execution Time,MEAN time
1,0.10483775,0.00027758300000000003,0.00027758300000000003
1,0.072950167,0.000254375,0.000254375
1,0.151549083,0.00025854199999999995,0.00025854199999999995
1,0.034993791999999996,0.00026141699999999995,0.00026141699999999995
1,0.15426925,0.000249333,0.000249333
5,0.37507845900000003,0.001105167,0.0002210334
5,0.312295708,0.001114375,0.00022287499999999998
5,0.419617834,0.0011408750000000002,0.00022817500000000003
5,0.384265042,0.001233916,0.0002467832
5,0.45105458299999995,0.00115675,0.00023135
10,0.816974333,0.0022755,0.00022755000000000003
10,1.010774708,0.002251708,0.0002251708
10,0.9745471250000001,0.002205834,0.00022058339999999997
10,0.8345259589999999,0.002253292,0.0002253292
10,1.028043459,0.002176958,0.0002176958
100,8.080002792,0.021653290999999998,0.00021653291
100,8.734359833,0.021994375,0.00021994375
100,10.132850083,0.022437292,0.00022437292
100,7.737991417,0.02514,0.0002514
100,9.317378459,0.022264417,0.00022264417
1000,85.463807167,0.215084125,0.00021508412499999998
1000,82.870159,0.219734667,0.00021973466699999998
1000,83.754065875,0.216479375,0.000216479375
1000,82.819278666,0.22044312500000002,0.000220443125
1000,84.488800417,0.224493083,0.000224493083
3000,266.323738958,2.216398041,0.0007387993470000001
3000,271.5603,2.173494916,0.0007244983053333333
3000,280.147487917,2.348940625,0.0007829802083333333
3000,275.698164292,2.166950291,0.0007223167636666667
3000,288.101014334,2.190729166,0.0007302430553333334
8000,671.323738958,2.216398041,0.00027704975512500004
8000,692.5603,2.173494916,0.0002716868645
8000,672.147487917,2.348940625,0.000293617578125
8000,691.698164292,2.166950291,0.000270868786375
8000,698.101014334,2.190729166,0.00027384114575
10000,836.323738958,2.216398041,0.00022163980410000003
10000,833.5603,2.173494916,0.0002173494916
10000,835.147487917,2.348940625,0.0002348940625
10000,845.698164292,2.166950291,0.0002166950291
10000,828.101014334,2.190729166,0.0002190729166
