iteration,participants,polls,Poll Execution Time,Poll Memory Usage,Poll size of all Options,Poll Size of all Participants,Poll Size of poll,Mining Execution Time,Mining Memory Usage
 1, 100, 1,
41.509757542s,1468424680,
3.08325ms,69480
 2, 100, 1,
40.264016083s,18446744073705267192,
3.146125ms,83896
 1, 100, 5,
2m58.095849s,18446744073697485152,
15.432459ms,344824
 2, 100, 5,
2m54.951737958s,18446744073699700560,
14.923ms,344840
 1, 100, 10,
5m56.32377075s,18446744073683262456,
32.207416ms,689760
 2, 100, 10,
5m51.5533385s,18446744073674052664,
30.620333ms,687168
 1, 100, 100,
58m20.69226525s,1471418160,
309.059166ms,6856304
 2, 100, 100,
58m54.621307125s,1470842976,
306.215584ms,6831584
 1, 100, 1000, 9h27m36.690522833s,1494864688,3.042872458s,68226128
